reg,name,section
2021-CS-162,Heather Walker,D
2021-CS-163,Debra Collins,A
2021-CS-164,Michael Jones,B
2021-CS-165,Deanna Reid,D
2021-CS-166,Jillian Wong,B
2021-CS-167,Katherine Horn,C
2021-CS-168,Dustin Gray,A
2021-CS-169,Heidi Nunez,D
2021-CS-170,Jessica Powell,D
2021-CS-171,Jasmin Silva,B
