reg,name,section
2024-CS-154,Casey Miller,C
2024-CS-155,Scott Montes,B
2024-CS-156,Nancy Rowland,B
2024-CS-157,Steven Thomas,D
2024-CS-158,Jerry Mack,A
2024-CS-159,Steven Wilson,D
2024-CS-160,Misty Baker,C
2024-CS-161,Alejandra Cook,D
2024-CS-162,David Dickerson,D
2024-CS-163,Derek Rivera,B
2024-CS-164,Linda Braun,B
2024-CS-165,Monica Wheeler,B
2024-CS-166,Tony Jones,A
2024-CS-167,Mark George,B
2024-CS-168,Cheryl Carson,D
2024-CS-169,Rodney Carter,C
2024-CS-170,John Lewis,B
2024-CS-171,Gregory Whitaker,C
